pr_number,created_date,time_to_first_review_sec,time_to_approval_sec,time_to_merge_sec,was_merged
63206,2025-10-28T21:13:43Z,99,0,30,1
63205,2025-10-28T20:38:30Z,109,0,281,1
63204,2025-10-28T20:19:01Z,4,0,66,1
63203,2025-10-28T20:10:04Z,98,0,0,1
63202,2025-10-28T19:53:24Z,117,0,0,1
63200,2025-10-28T19:47:51Z,125,0,0,1
63198,2025-10-28T19:45:36Z,131,0,0,1
63196,2025-10-28T19:40:31Z,153,0,0,1
63194,2025-10-28T19:23:29Z,151,0,0,1
63193,2025-10-28T19:21:44Z,,,,0
63192,2025-10-28T19:20:58Z,171,0,0,1
63189,2025-10-28T19:18:15Z,169,0,0,1
63187,2025-10-28T19:12:30Z,10,0,38,1
63186,2025-10-28T19:06:58Z,175,0,0,1
63185,2025-10-28T19:04:37Z,27,0,132,1
63183,2025-10-28T19:02:38Z,,,,0
63182,2025-10-28T18:58:58Z,,,,0
63180,2025-10-28T18:55:31Z,,,,0
63178,2025-10-28T18:47:24Z,,,,0
63177,2025-10-28T18:45:54Z,,,,0
63176,2025-10-28T18:45:54Z,41,0,31,1
63174,2025-10-28T18:30:02Z,16,0,15,1
63172,2025-10-28T18:25:48Z,18,0,13,1
63170,2025-10-28T17:52:05Z,59,0,0,1
63168,2025-10-28T17:32:08Z,14,0,26,1
63167,2025-10-28T17:30:13Z,70,0,0,1
63165,2025-10-28T17:19:28Z,28,0,8,1
63164,2025-10-28T17:17:48Z,,,,0
63163,2025-10-28T17:16:47Z,51,0,0,1
63162,2025-10-28T17:15:14Z,129,0,0,1
63161,2025-10-28T17:13:41Z,129,0,0,1
63160,2025-10-28T17:11:52Z,111,0,0,1
63159,2025-10-28T17:09:57Z,102,0,0,1
63158,2025-10-28T17:08:43Z,108,0,0,1
63157,2025-10-28T17:06:36Z,107,0,0,1
63149,2025-10-28T16:15:00Z,298,0,1,1
63146,2025-10-28T14:25:19Z,,,,0
63144,2025-10-28T13:44:38Z,565,0,238,1
63143,2025-10-28T13:34:17Z,,,,0
63142,2025-10-28T12:33:56Z,69,0,0,1
63141,2025-10-28T12:11:33Z,,,,0
63140,2025-10-28T11:33:58Z,426,11410,0,1
63139,2025-10-28T11:10:25Z,,,,0
63138,2025-10-28T10:35:18Z,81,0,415,1
63137,2025-10-28T09:25:27Z,36,0,0,1
63136,2025-10-28T09:12:25Z,,,,0
63135,2025-10-28T09:09:40Z,54,0,0,1
63134,2025-10-28T08:56:43Z,3241,1206,4072,1
63133,2025-10-28T08:42:45Z,91,0,0,1
63132,2025-10-28T08:20:32Z,9225,1063,31,1
63131,2025-10-28T06:58:00Z,262,16,127,1
63130,2025-10-28T06:44:05Z,209,0,0,1
63129,2025-10-28T06:27:52Z,225,0,0,1
