issue_id,issue_number,title,state,created_date,closed_date,contributors
I_kwDOAbrxp86xMgau,50496,Android - Animated.event useNativeDriver:true sets incorrect translate position when moving fast,OPEN,2025-04-04T16:13:53Z,,
I_kwDOAbrxp861EjyS,51090,"Images loaded from PHAsset, i.e. with ph:// uri, cause large memory leaks in New Architecture",CLOSED,2025-05-04T08:56:04Z,2025-05-04T16:54:19Z,
I_kwDOAbrxp86gYsao,47929,new Architecture Turbomodules Codegen spec not generated,CLOSED,2024-11-25T13:51:28Z,2024-11-26T08:02:32Z,
I_kwDOAbrxp860-ONE,51077,Disabling autolinking on iOS selectively in react-native.config.js crashes the app during runtime,CLOSED,2025-05-02T14:46:45Z,2025-05-08T14:52:30Z,
I_kwDOAbrxp851a4kJ,41257,Attempt to invoke interface method 'void com.facebook.react.uimanager.UIViewOperationQueue$UIOperation.execute()' on a null object reference,CLOSED,2023-10-31T09:13:45Z,2023-12-04T13:05:47Z,
I_kwDOAbrxp86wDsto,50327,"Async JS ""stacking up"" when MainActivity is in the background",OPEN,2025-03-27T16:55:19Z,,
I_kwDOAbrxp861rN99,51186,C/C++:   does not contain a CMakeLists.txt file for android,CLOSED,2025-05-08T06:54:00Z,2025-05-08T10:41:26Z,
I_kwDOAbrxp86k8TiC,48462,xcode 16.2 Could not build module 'DarwinFoundation' ,CLOSED,2025-01-03T09:43:42Z,2025-03-31T09:18:23Z,
I_kwDOAbrxp861tW0y,51190,onPanResponderTerminationRequest isvalid,OPEN,2025-05-08T10:30:56Z,,
I_kwDOAbrxp86THfyw,46046,[android] Plugin [id: 'com.facebook.react.settings'] was not found in any of the following sources,CLOSED,2024-08-15T14:48:42Z,2024-08-19T15:32:44Z,
I_kwDOAbrxp860sLLi,51015,[Android] Keyboard toolbar overlap,OPEN,2025-04-30T14:32:16Z,,
I_kwDOAbrxp860mzq5,51008,[Android][Fabric] Samsung Pass autofill does not trigger when Fabric is enabled,CLOSED,2025-04-30T04:13:09Z,2025-05-08T08:05:55Z,
I_kwDOAbrxp86zAFZJ,50790,Some kinda of Sync issue only with 0.79.1,OPEN,2025-04-17T18:06:36Z,,
I_kwDOAbrxp861s-jd,51188,Need help with 0.77 RCTAppDependencyProvider for .m file,OPEN,2025-05-08T09:56:38Z,,
I_kwDOAbrxp86rxImw,49694,C++ state update not received when using a path-cloning commit hook,CLOSED,2025-02-26T14:19:47Z,2025-05-01T12:54:11Z,
MDU6SXNzdWUzNzg2ODc2MjE=,22211,SafeAreaView doesn't respect `padding` property in style,CLOSED,2018-11-08T11:20:23Z,2025-04-21T05:01:10Z,
I_kwDOAbrxp861YFE6,51134,"When quickly scrolling the sectionList component, the stickySectionHeader displays the wrong component.",OPEN,2025-05-06T14:11:11Z,,
I_kwDOAbrxp86vBjRe,50179,There is a Bug with the accessible React Native Image element on iOS,OPEN,2025-03-20T19:11:36Z,,
I_kwDOAbrxp86cldze,47335,experimental_backgroundImage works incorrect,CLOSED,2024-10-31T14:53:25Z,2025-05-08T05:14:31Z,
I_kwDOAbrxp861QF1W,51109,Android Old Arch Native Event Emitter - RN no longer receiving events while not current activity,OPEN,2025-05-05T21:41:03Z,,
I_kwDOAbrxp86x58WW,50618,iOS Build Failing on New Architecture After Upgrading from 0.78.2 to 0.79.0,CLOSED,2025-04-10T07:38:32Z,2025-04-10T13:45:57Z,
I_kwDOAbrxp86eksJA,47625,[0.76] `KeyboardAvoidingView` animation issues since 0.76+ upgrade,OPEN,2024-11-15T00:27:32Z,,
I_kwDOAbrxp86z6b4z,50916,Lines getting cut-off on Android devices with small font sizes,OPEN,2025-04-24T21:00:57Z,,
I_kwDOAbrxp861Xvad,51129,【ios】The stickySectionHeader of the SectionList component sometimes does not display.,OPEN,2025-05-06T13:43:05Z,,
I_kwDOAbrxp86vFo3Q,50189,Section sticky header in wrong place after list header change until scroll,OPEN,2025-03-21T06:56:10Z,,
I_kwDOAbrxp86vx8Ks,50274,[0.77] Android Old Architecture debug app freezes when Metro triggers reload,OPEN,2025-03-26T10:30:36Z,,
MDU6SXNzdWU2NTIyNzYwMDA=,29290,useWindowDimensions() returns swapped height and width in iOS,OPEN,2020-07-07T12:18:41Z,,
I_kwDOAbrxp86lwDBb,48611,Issue when displaying a modal after dismissing another modal,OPEN,2025-01-10T18:34:07Z,,
I_kwDOAbrxp861imhI,51153,Modalfy modal automatic closes when any native permision popup open and click on any action like allow or not,CLOSED,2025-05-07T12:06:45Z,2025-05-07T12:07:02Z,
I_kwDOAbrxp86UMXv0,46210,[0.75.x/0.76.x] Failing to build on Windows - Could not move temporary workspace - Error resolving plugin [id: 'com.facebook.react.settings'] - java.io.UncheckedIOException,CLOSED,2024-08-20T19:29:20Z,2025-01-13T11:48:21Z,
I_kwDOAbrxp85bBhou,35797,KeyboardAvoidingView Layout Shift On Next Input Focus,CLOSED,2023-01-10T10:22:59Z,2023-07-18T05:01:33Z,
I_kwDOAbrxp860cyCK,50973,App crash when build debug with build configuration,CLOSED,2025-04-29T08:06:05Z,2025-05-07T04:27:45Z,
I_kwDOAbrxp861S4df,51113,allowFontScaling = false not working on react native 0.78.1,CLOSED,2025-05-06T06:14:10Z,2025-05-07T09:48:04Z,
I_kwDOAbrxp86Es8wy,43875,When Nesting a Flatlist inside a Flatlist both are horizontal child flatlist in not rendering horizontally,CLOSED,2024-04-04T19:44:06Z,2024-12-02T05:26:12Z,
I_kwDOAbrxp85iaQnD,36762,Command PhaseScriptExecution failed with a nonzero exit code - Error when Archive on Xcode 14.3,OPEN,2023-04-02T18:39:30Z,,
I_kwDOAbrxp85aLRdw,35735,"TextInput Lag, Android 13",OPEN,2022-12-28T15:28:30Z,,
I_kwDOAbrxp86mQajG,48684,keyboardType makes the input laggy on Android,CLOSED,2025-01-15T09:47:43Z,2025-01-16T03:17:50Z,
I_kwDOAbrxp85RO7Oi,34605,"When an intent is received by the app, AppState receive a background state then an active state just after",CLOSED,2022-09-06T08:00:45Z,2025-05-07T05:01:12Z,
I_kwDOAbrxp850sep8,41163,FlatList - Some elements are not displayed when using initialScrollIndex,OPEN,2023-10-23T18:52:33Z,,
I_kwDOAbrxp86B-tVl,43426,Android Native Module: Unresolved reference: PackageList,CLOSED,2024-03-12T04:24:36Z,2024-03-12T10:59:52Z,
MDU6SXNzdWU3OTM5ODAyOTE=,30794,Nested text with different lineHeight are cropped on Android,CLOSED,2021-01-26T06:45:37Z,2023-11-04T05:13:08Z,
I_kwDOAbrxp86hRY5k,48027,C++ STL Library on Android does not support `exception_ptr`,CLOSED,2024-11-29T16:59:29Z,2025-03-04T12:54:35Z,
MDU6SXNzdWUyMDU0NTU0NzQ=,12220,Memory leak when programmatically changing 'source' prop of Image,OPEN,2017-02-05T21:22:30Z,,
I_kwDOAbrxp85mzdBR,37559,"Failed to build iOS project. We ran ""xcodebuild"" command but it exited with error code 65",OPEN,2023-05-24T21:30:24Z,,
I_kwDOAbrxp86znOcz,50861,Dimensions API does not handles orientation change,OPEN,2025-04-23T09:49:49Z,,
I_kwDOAbrxp85hzfK_,36642,react-native-gradle-plugin,CLOSED,2023-03-26T12:17:06Z,2023-03-31T14:53:57Z,
I_kwDOAbrxp86xx1bG,50589,Touch events cause zIndex to be invalid on Android and iOS,OPEN,2025-04-09T12:12:50Z,,
I_kwDOAbrxp861LibX,51102,couldn't find DSO to load: libreact_featureflagsjni.so,CLOSED,2025-05-05T13:33:56Z,2025-05-06T14:15:51Z,
I_kwDOAbrxp860tETp,51020,Text Input onChange TextInputChangeEventData native event returns selection data but the TS complains,OPEN,2025-04-30T15:47:06Z,,
I_kwDOAbrxp86m06SE,48792,React native flickering issue in Screen when  Scrollview  Apply React native 0.76 version React navigation 7 version,CLOSED,2025-01-20T10:41:36Z,2025-03-24T05:01:09Z,
I_kwDOAbrxp86oGU7l,49057,React Native Flickering Issue When position : absolute in iOS only,OPEN,2025-01-30T08:47:04Z,,
I_kwDOAbrxp861W9jI,51125,[Android] Build fails with missing react.gradle after upgrading to 0.73.4,CLOSED,2025-05-06T12:37:33Z,2025-05-06T12:37:48Z,
I_kwDOAbrxp861WPWG,51123,Latest v0.79.2 cannot be installed successfully.,CLOSED,2025-05-06T11:25:28Z,2025-05-06T12:05:32Z,
I_kwDOAbrxp85Y5L5s,35615,accessibilityLabelledBy Android has an issue when using accessibility scanner,CLOSED,2022-12-12T09:17:26Z,2023-06-19T05:40:52Z,
I_kwDOAbrxp86yGxmX,50642,FlatList scrollEventThrottle > 16 silents item's onStartShouldSetResponder on Android,CLOSED,2025-04-11T09:36:46Z,2025-05-06T10:51:15Z,
I_kwDOAbrxp861UBpn,51116,C/C++:   does not contain a CMakeLists.txt file.,CLOSED,2025-05-06T08:08:26Z,2025-05-06T09:58:23Z,
I_kwDOAbrxp86nTKMS,48887,SectionList onViewableItemsChanged behaviour difference between iOS and Android/Web,OPEN,2025-01-23T12:45:38Z,,
I_kwDOAbrxp861S5Ju,51114,Android Intent Deep Linking Conflict: Multiple Options for Same App After Successful Auth (Microsoft & UAE PASS),CLOSED,2025-05-06T06:15:31Z,2025-05-06T06:15:49Z,
I_kwDOAbrxp854wj5O,41801,Not able to proceed with TextInput || iOS release,OPEN,2023-12-05T11:40:03Z,,
I_kwDOAbrxp85-xUMV,42939,[iOS][KeyboardAvoidingView] Using KeyboardAvoidingView inside a ScrollView causes the app the crash when focusing an input,OPEN,2024-02-09T10:27:57Z,,
I_kwDOAbrxp86tCfqS,49888,React Native 0.78.0 Android Build Failing with CMake Errors - Missing JNI Directories,CLOSED,2025-03-07T14:12:37Z,2025-03-11T10:23:09Z,
I_kwDOAbrxp86btIX6,47190,[0.76.0] fresh install - ios doesn't build,CLOSED,2024-10-24T18:30:58Z,2024-10-28T14:41:17Z,
I_kwDOAbrxp861NI6C,51105,Command PhaseScriptExecution failed with a nonzero exit code on xCode while building my react native app,CLOSED,2025-05-05T16:01:59Z,2025-05-05T16:02:16Z,
I_kwDOAbrxp86nlMQ4,48950,React Codegen Command PhaseScriptExecution failed with a nonzero exit code,CLOSED,2025-01-26T12:55:41Z,2025-01-27T18:48:41Z,
I_kwDOAbrxp86ksRV7,48412,`View` inside `ScrollView` makes scroll-to-top when multiline input grows,OPEN,2024-12-30T11:29:39Z,,
I_kwDOAbrxp86oaVUw,49112,@react-native/popup-menu-android causes build failure on android: build.gradle.kts Unresolved reference: libs,CLOSED,2025-02-01T22:30:30Z,2025-02-06T13:51:40Z,
I_kwDOAbrxp861Kclj,51100,ios Rect native build failed,CLOSED,2025-05-05T11:46:29Z,2025-05-05T12:41:05Z,
I_kwDOAbrxp86oF1DH,49056,React.forwardRef(ActivityIndicator) issue,OPEN,2025-01-30T07:24:46Z,,
I_kwDOAbrxp86yVjdp,50696,Duplicated debug targets after upgrading to 76.x,CLOSED,2025-04-14T06:12:28Z,2025-04-14T13:29:00Z,
I_kwDOAbrxp86mg4a8,48746,uninitialized constant ActiveSupport::LoggerThreadSafeLevel::Logger (NameError),CLOSED,2025-01-16T19:45:03Z,2025-01-20T13:27:48Z,
I_kwDOAbrxp86ECA2Y,43713,React-Native IOS real device does not connect to Metro server,CLOSED,2024-03-29T10:54:58Z,2024-04-02T11:05:40Z,
I_kwDOAbrxp86q4fu7,49573,[0.78] Turbo Module NativeStorage example: None of the following candidates is applicable: constructor(....,CLOSED,2025-02-20T18:16:14Z,2025-02-21T11:28:25Z,
I_kwDOAbrxp86TYdsc,46089,"npx @react-native-community/cli@latest init MyProject –-version latest, I got latest is not a valid version.",CLOSED,2024-08-19T07:34:22Z,2024-08-19T09:23:56Z,KingAmo
I_kwDOAbrxp85-js33,42914,Intl.RelativeTimeFormat Not Working 0.73,CLOSED,2024-02-07T15:26:57Z,2024-02-08T19:25:57Z,
I_kwDOAbrxp861DMqJ,51087,Update react-native to 0.79.2 dependencyProvider unrecognized selector,CLOSED,2025-05-03T17:10:17Z,2025-05-04T08:00:23Z,
I_kwDOAbrxp86i8AxN,48220,FaltList scroll does not work,CLOSED,2024-12-11T18:05:01Z,2025-05-04T05:14:20Z,
MDU6SXNzdWU2NzM5ODA0NzE=,29572,"iOS TextInput - text undo/redo doesn't work if value, defaultValue, or onChange is set",CLOSED,2020-08-06T03:12:00Z,2025-05-04T05:14:17Z,
I_kwDOAbrxp86xhxNX,50539,Image inside an ImageBackground cut off on the right side when `padding` is applied to the ImageBackground style,OPEN,2025-04-08T02:16:16Z,,
MDU6SXNzdWUyMDk2NTM3NjQ=,12534,[Android] position: absolute shouldn't be cut off within a container with border,OPEN,2017-02-23T03:29:27Z,,
I_kwDOAbrxp85ktDRO,37177,Dashed border on iOS displays extra black solid line on the bottom,CLOSED,2023-04-29T11:39:57Z,2024-01-08T05:13:28Z,
I_kwDOAbrxp86uxC97,50137,[android][TextInput] Placeholder is not respecting custom font family and weight,OPEN,2025-03-19T14:50:19Z,,
I_kwDOAbrxp860vD3Y,51031,0.78.2 does not build ios with use_frameworks! :linkage => :static,CLOSED,2025-04-30T19:14:18Z,2025-05-01T16:17:49Z,
I_kwDOAbrxp86p76Wr,49397,I cant take archive build in ios,CLOSED,2025-02-13T13:31:48Z,2025-02-13T16:06:47Z,
I_kwDOAbrxp86zDaGm,50797,"scale 0 touchable is clickable, inherits dimensions from random views",OPEN,2025-04-18T05:24:37Z,,
I_kwDOAbrxp85s7ZjY,38682,normal arm64 c++ com.apple.compilers.llvm.clang.1_0.compiler,CLOSED,2023-07-29T14:54:06Z,2023-07-29T14:54:21Z,
I_kwDOAbrxp8607QoL,51069,Attempt to invoke virtual method 'int android.graphics.drawable.Drawable.getSmoothCornerState()' on a null object reference,CLOSED,2025-05-02T08:04:55Z,2025-05-02T13:17:08Z,
I_kwDOAbrxp85qiTf2,38175,"Android Random Crash: Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr",CLOSED,2023-07-04T07:56:09Z,2023-07-06T05:15:32Z,
I_kwDOAbrxp86u1MFQ,50144,libreact_featureflagsjni.so Not Found – React Native App Crashes on Startup,CLOSED,2025-03-19T21:04:03Z,2025-03-20T11:41:14Z,
